state,shape,Number of Shapes Per State
ak,light,87
ak,other,36
ak,circle,26
ak,disk,26
ak,sphere,25
ak,triangle,25
ak,fireball,18
ak,oval,18
ak,flash,11
ak,cigar,6
ak,formation,6
ak,changing,5
ak,cylinder,4
ak,diamond,4
ak,rectangle,3
ak,cone,1
ak,egg,1
ak,teardrop,1
al,light,128
al,other,81
al,triangle,78
al,circle,61
al,sphere,44
al,fireball,43
al,disk,42
al,oval,31
al,cigar,15
al,diamond,15
al,flash,14
al,changing,12
al,formation,12
al,cylinder,11
al,egg,11
al,chevron,9
al,rectangle,8
al,teardrop,6
al,cross,3
al,cone,1
ar,light,122
ar,triangle,84
ar,other,81
ar,circle,60
ar,disk,36
ar,sphere,26
ar,cigar,23
ar,fireball,23
ar,cylinder,17
ar,oval,17
ar,changing,16
ar,flash,13
ar,formation,12
ar,chevron,9
ar,diamond,9
ar,rectangle,8
ar,teardrop,7
ar,egg,3
ar,cross,2
ar,cone,1
az,light,545
az,other,345
az,triangle,234
az,circle,210
az,fireball,172
az,sphere,165
az,disk,124
az,oval,103
az,formation,101
az,changing,70
az,cigar,49
az,flash,38
az,cylinder,37
az,rectangle,35
az,chevron,29
az,diamond,28
az,teardrop,23
az,egg,20
az,cone,13
az,cross,7
ca,light,1819
ca,other,1172
ca,circle,835
ca,triangle,818
ca,fireball,695
ca,disk,625
ca,sphere,610
ca,oval,382
ca,formation,293
ca,changing,266
ca,cigar,195
ca,chevron,150
ca,rectangle,149
ca,flash,142
ca,diamond,135
ca,cylinder,119
ca,egg,85
ca,teardrop,71
ca,cross,31
ca,cone,28
co,light,293
co,other,188
co,triangle,163
co,circle,118
co,sphere,99
co,fireball,90
co,disk,88
co,oval,69
co,formation,41
co,changing,36
co,flash,35
co,cigar,32
co,chevron,31
co,cylinder,30
co,rectangle,22
co,diamond,14
co,egg,12
co,teardrop,11
co,cone,3
co,cross,3
ct,light,159
ct,other,127
ct,circle,90
ct,fireball,90
ct,triangle,78
ct,disk,56
ct,oval,47
ct,sphere,44
ct,cigar,32
ct,rectangle,21
ct,cylinder,18
ct,diamond,15
ct,formation,15
ct,teardrop,14
ct,changing,13
ct,chevron,12
ct,flash,10
ct,egg,8
ct,cone,5
ct,cross,3
dc,changing,1
dc,cylinder,1
dc,disk,1
dc,fireball,1
dc,light,1
dc,other,1
dc,sphere,1
de,triangle,30
de,light,28
de,circle,22
de,other,21
de,sphere,17
de,disk,11
de,fireball,8
de,formation,6
de,changing,4
de,egg,3
de,flash,3
de,oval,3
de,chevron,2
de,diamond,2
de,rectangle,2
de,teardrop,2
de,cylinder,1
fl,light,743
fl,other,523
fl,fireball,406
fl,triangle,355
fl,circle,350
fl,sphere,267
fl,disk,210
fl,oval,193
