,city,state,shape,month,day,year,time,latitude,longitude ,duration (seconds),Airport Name,Airport Lat,Airport Lng
248,san diego,ca,sphere,10,10,2012,18:56,32.7152778,-117.1563889,240,San Diego International Airport,32.7338006,-117.1933038
259,phoenix,az,sphere,10,10,2012,20:45,33.4483333,-112.07333329999999,300,Phoenix Mesa,33.44812590000001,-112.0740731
451,phoenix,az,sphere,10,11,2012,21:01,33.4483333,-112.07333329999999,30,Phoenix Mesa,33.44812590000001,-112.0740731
1156,chicago,il,unknown,10,12,2012,4:10,41.85,-87.65,7200,helipad,41.8624053,-87.666196
1164,phoenix,az,other,10,12,2012,18:55,33.4483333,-112.07333329999999,300,Phoenix Mesa,33.44812590000001,-112.0740731
1171,tucson,az,chevron,10,12,2012,19:30,32.2216667,-110.9258333,6,Helipad 1,32.2419859,-110.9464129
2833,san diego,ca,circle,10,18,2012,1:00,32.7152778,-117.1563889,900,San Diego International Airport,32.7338006,-117.1933038
3941,las vegas,nv,light,10,22,2012,9:17,36.175,-115.1363889,240,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
4157,las vegas,nv,other,10,23,2012,14:30,36.175,-115.1363889,300,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
4365,tucson,az,changing,10,24,2012,9:30,32.2216667,-110.9258333,35,Helipad 1,32.2419859,-110.9464129
4786,las vegas,nv,sphere,10,26,2012,17:00,36.175,-115.1363889,6,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
5185,houston,tx,fireball,10,28,2012,16:40,29.7630556,-95.3630556,3,Yellow Cab Houston,29.7895795,-95.35374739999999
5995,las vegas,nv,formation,10,31,2012,20:40,36.175,-115.1363889,900,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
7372,san diego,ca,sphere,10,9,2012,17:35,32.7152778,-117.1563889,720,San Diego International Airport,32.7338006,-117.1933038
7814,los angeles,ca,circle,11,10,2012,19:40,34.0522222,-118.2427778,480,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
8554,seattle,wa,light,11,1,2012,20:45,47.6063889,-122.33083329999998,120,Port of Seattle,47.6138103,-122.3542749
8801,los angeles,ca,teardrop,11,12,2012,12:01,34.0522222,-118.2427778,45,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
10037,las vegas,nv,other,11,16,2012,19:00,36.175,-115.1363889,20,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
10309,phoenix,az,light,11,17,2012,20:23,33.4483333,-112.07333329999999,60,Phoenix Mesa,33.44812590000001,-112.0740731
11259,phoenix,az,oval,1,1,2012,0:00,33.4483333,-112.07333329999999,180,Phoenix Mesa,33.44812590000001,-112.0740731
11276,chicago,il,circle,1,1,2012,0:13,41.85,-87.65,180,helipad,41.8624053,-87.666196
11287,miami,fl,flash,1,1,2012,0:25,25.7738889,-80.1938889,60,Ferrari Express,25.7750635,-80.19280119999999
11323,houston,tx,circle,1,1,2012,23:00,29.7630556,-95.3630556,60,Yellow Cab Houston,29.7895795,-95.35374739999999
12160,phoenix,az,triangle,11,2,2012,0:00,33.4483333,-112.07333329999999,300,Phoenix Mesa,33.44812590000001,-112.0740731
12167,miami,fl,egg,1,12,2012,15:00,25.7738889,-80.1938889,1,Ferrari Express,25.7750635,-80.19280119999999
12169,phoenix,az,formation,11,2,2012,18:30,33.4483333,-112.07333329999999,30,Phoenix Mesa,33.44812590000001,-112.0740731
12443,las vegas,nv,fireball,11,22,2012,20:30,36.175,-115.1363889,240,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
12816,miami,fl,fireball,11,24,2012,19:00,25.7738889,-80.1938889,60,Ferrari Express,25.7750635,-80.19280119999999
12993,las vegas,nv,unknown,11,25,2012,1:30,36.175,-115.1363889,3,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
12995,chicago,il,changing,11,25,2012,5:05,41.85,-87.65,120,helipad,41.8624053,-87.666196
12997,portland,or,light,11,25,2012,16:50,45.5236111,-122.675,240,PGE Service Center Heliport,45.4958241,-122.6478189
13326,phoenix,az,circle,11,27,2012,20:00,33.4483333,-112.07333329999999,8,Phoenix Mesa,33.44812590000001,-112.0740731
13536,houston,tx,fireball,11,28,2012,17:35,29.7630556,-95.3630556,300,Yellow Cab Houston,29.7895795,-95.35374739999999
14201,phoenix,az,changing,1,13,2012,7:00,33.4483333,-112.07333329999999,120,Phoenix Mesa,33.44812590000001,-112.0740731
14229,houston,tx,sphere,1,13,2012,20:35,29.7630556,-95.3630556,300,Yellow Cab Houston,29.7895795,-95.35374739999999
15093,portland,or,fireball,11,5,2012,18:30,45.5236111,-122.675,120,PGE Service Center Heliport,45.4958241,-122.6478189
15449,las vegas,nv,disk,11,6,2012,14:00,36.175,-115.1363889,900,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
15450,miami,ok,unknown,11,6,2012,16:15,36.8744444,-94.8772222,10,Miami Regional Airport,36.909168,-94.887497
15463,portland,or,changing,11,6,2012,20:00,45.5236111,-122.675,600,PGE Service Center Heliport,45.4958241,-122.6478189
15835,tucson,az,triangle,11,7,2012,21:30,32.2216667,-110.9258333,45,Helipad 1,32.2419859,-110.9464129
16244,tucson,az,light,1,18,2012,21:30,32.2216667,-110.9258333,360,Helipad 1,32.2419859,-110.9464129
16823,phoenix,az,unknown,1,20,2012,20:35,33.4483333,-112.07333329999999,180,Phoenix Mesa,33.44812590000001,-112.0740731
17052,miami,fl,cigar,12,10,2012,22:45,25.7738889,-80.1938889,1,Ferrari Express,25.7750635,-80.19280119999999
17584,seattle,wa,oval,12,1,2012,11:35,47.6063889,-122.33083329999998,60,Port of Seattle,47.6138103,-122.3542749
18003,phoenix,az,light,12,13,2012,20:00,33.4483333,-112.07333329999999,900,Phoenix Mesa,33.44812590000001,-112.0740731
18182,las vegas,nv,sphere,12,14,2012,22:30,36.175,-115.1363889,180,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
18438,portland,or,fireball,12,15,2012,18:00,45.5236111,-122.675,3,PGE Service Center Heliport,45.4958241,-122.6478189
18602,portland,me,fireball,12,16,2012,20:00,43.6613889,-70.25583329999999,180,Portland International Jetport,43.64647850000001,-70.30969739999999
19022,miami,fl,circle,12,19,2012,21:45,25.7738889,-80.1938889,300,Ferrari Express,25.7750635,-80.19280119999999
19493,los angeles,ca,sphere,12,21,2012,13:00,34.0522222,-118.2427778,10,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
19495,los angeles,ca,triangle,12,21,2012,17:35,34.0522222,-118.2427778,335,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
19509,portland,or,light,12,21,2012,23:00,45.5236111,-122.675,300,PGE Service Center Heliport,45.4958241,-122.6478189
19766,portland,or,formation,12,2,2012,6:15,45.5236111,-122.675,5,PGE Service Center Heliport,45.4958241,-122.6478189
19767,las vegas,nv,triangle,12,2,2012,16:30,36.175,-115.1363889,35,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
19923,phoenix,az,fireball,12,22,2012,18:00,33.4483333,-112.07333329999999,120,Phoenix Mesa,33.44812590000001,-112.0740731
19930,phoenix,az,light,12,22,2012,20:21,33.4483333,-112.07333329999999,120,Phoenix Mesa,33.44812590000001,-112.0740731
19937,seattle,wa,oval,12,22,2012,22:15,47.6063889,-122.33083329999998,180,Port of Seattle,47.6138103,-122.3542749
20912,san diego,ca,unknown,12,27,2012,6:50,32.7152778,-117.1563889,300,San Diego International Airport,32.7338006,-117.1933038
20913,las vegas,nv,triangle,12,27,2012,8:00,36.175,-115.1363889,900,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
21083,phoenix,az,sphere,12,28,2012,20:50,33.4483333,-112.07333329999999,420,Phoenix Mesa,33.44812590000001,-112.0740731
21259,las vegas,nv,unknown,12,29,2012,20:30,36.175,-115.1363889,180,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
22085,miami,fl,light,12,3,2012,2:30,25.7738889,-80.1938889,180,Ferrari Express,25.7750635,-80.19280119999999
22415,phoenix,az,light,1,24,2012,21:00,33.4483333,-112.07333329999999,900,Phoenix Mesa,33.44812590000001,-112.0740731
22418,phoenix,az,light,1,24,2012,21:30,33.4483333,-112.07333329999999,300,Phoenix Mesa,33.44812590000001,-112.0740731
23338,houston,tx,unknown,12,7,2012,6:35,29.7630556,-95.3630556,2,Yellow Cab Houston,29.7895795,-95.35374739999999
23659,tucson,az,circle,1,28,2012,18:40,32.2216667,-110.9258333,900,Helipad 1,32.2419859,-110.9464129
24097,las vegas,nv,rectangle,1,30,2012,12:00,36.175,-115.1363889,120,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
24240,phoenix,az,formation,1,31,2012,15:30,33.4483333,-112.07333329999999,900,Phoenix Mesa,33.44812590000001,-112.0740731
24788,portland,or,fireball,1,5,2012,17:00,45.5236111,-122.675,3,PGE Service Center Heliport,45.4958241,-122.6478189
24924,tucson,az,light,1,6,2012,9:05,32.2216667,-110.9258333,10,Helipad 1,32.2419859,-110.9464129
24925,tucson,az,oval,1,6,2012,9:10,32.2216667,-110.9258333,10,Helipad 1,32.2419859,-110.9464129
24934,las vegas,nv,light,1,6,2012,18:00,36.175,-115.1363889,45,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
25971,las vegas,nv,rectangle,2,1,2012,10:42,36.175,-115.1363889,180,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
25973,seattle,wa,unknown,2,1,2012,11:45,47.6063889,-122.33083329999998,5,Port of Seattle,47.6138103,-122.3542749
26982,miami,fl,light,2,16,2012,19:00,25.7738889,-80.1938889,300,Ferrari Express,25.7750635,-80.19280119999999
27419,los angeles,ca,fireball,2,19,2012,20:30,34.0522222,-118.2427778,300,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
28105,san diego,ca,sphere,2,22,2012,18:00,32.7152778,-117.1563889,600,San Diego International Airport,32.7338006,-117.1933038
28286,las vegas,nv,unknown,2,23,2012,18:23,36.175,-115.1363889,120,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
28287,phoenix,az,fireball,2,23,2012,20:20,33.4483333,-112.07333329999999,30,Phoenix Mesa,33.44812590000001,-112.0740731
28451,las vegas,nv,light,2,24,2012,21:35,36.175,-115.1363889,600,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
28719,chicago,il,rectangle,2,26,2012,21:00,41.85,-87.65,15,helipad,41.8624053,-87.666196
29211,phoenix,az,sphere,2,3,2012,20:00,33.4483333,-112.07333329999999,900,Phoenix Mesa,33.44812590000001,-112.0740731
29664,tucson,az,rectangle,2,6,2012,6:00,32.2216667,-110.9258333,300,Helipad 1,32.2419859,-110.9464129
29808,portland,or,circle,2,7,2012,0:00,45.5236111,-122.675,600,PGE Service Center Heliport,45.4958241,-122.6478189
29809,las vegas,nv,circle,2,7,2012,7:00,36.175,-115.1363889,10,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
30138,tucson,az,circle,2,9,2012,20:15,32.2216667,-110.9258333,120,Helipad 1,32.2419859,-110.9464129
30340,chicago,il,other,3,10,2012,21:00,41.85,-87.65,1200,helipad,41.8624053,-87.666196
30977,houston,tx,unknown,3,12,2012,21:30,29.7630556,-95.3630556,3600,Yellow Cab Houston,29.7895795,-95.35374739999999
31238,las vegas,nv,flash,3,13,2012,21:00,36.175,-115.1363889,1200,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
31763,san diego,ca,flash,3,15,2012,19:00,32.7152778,-117.1563889,5,San Diego International Airport,32.7338006,-117.1933038
32117,phoenix,az,triangle,3,17,2012,23:00,33.4483333,-112.07333329999999,1200,Phoenix Mesa,33.44812590000001,-112.0740731
